Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by RNTRD Rent (weekly) Ranges by HIND Total Household Income (weekly)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Braidwood"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
"$75-$99",0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$100-$124",0,0,3,4,16,13,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,64,
"$125-$149",0,0,0,0,0,7,3,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
"$150-$174",0,0,0,0,12,10,12,3,3,8,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,58,
"$175-$199",0,0,0,0,11,14,19,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,75,
"$200-$224",0,5,0,0,3,9,16,8,10,12,0,5,0,3,3,0,0,0,0,0,0,0,3,0,0,74,
"$225-$249",0,0,0,0,5,9,9,4,6,3,3,3,3,9,0,0,0,0,0,0,0,0,0,3,0,55,
"$250-$274",0,0,0,0,6,3,9,5,13,16,19,9,8,10,3,7,3,0,0,0,0,0,4,9,0,138,
"$275-$299",0,3,0,0,0,3,7,9,9,23,15,20,8,24,9,4,0,0,0,0,0,0,4,0,0,145,
"$300-$324",0,6,0,0,7,9,18,17,20,25,25,14,16,23,7,3,3,6,0,0,0,0,3,0,0,198,
"$325-$349",0,0,0,0,0,0,9,3,6,14,5,5,12,10,4,3,3,0,0,0,0,0,0,0,0,85,
"$350-$374",4,3,0,0,0,6,8,4,7,12,18,10,6,28,6,9,8,3,0,0,0,0,4,0,0,132,
"$375-$399",0,0,3,0,0,3,0,5,6,8,17,12,12,13,5,5,7,0,4,0,0,0,9,0,0,93,
"$400-$424",0,5,0,0,0,6,3,3,7,6,8,13,10,22,9,18,3,0,0,0,0,0,4,0,0,116,
"$425-$449",0,0,0,0,0,0,0,0,0,6,3,6,0,6,8,0,0,0,4,0,0,0,4,0,0,39,
"$450-$474",0,0,0,0,5,0,0,0,0,0,4,4,3,15,11,10,8,0,0,4,0,0,0,0,0,72,
"$475-$499",0,0,0,0,0,0,0,0,0,3,0,0,7,9,4,7,7,0,3,3,0,0,3,0,0,63,
"$500-$524",0,0,0,0,0,0,4,0,0,6,0,11,0,4,0,9,3,5,0,0,0,0,6,0,0,58,
"$525-$549",0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,27,
"$550-$649",0,0,0,0,0,0,0,0,0,3,0,0,5,9,11,8,8,3,13,8,3,0,5,0,0,85,
"$650-$749",0,0,0,0,0,0,0,0,0,3,3,0,3,8,3,0,8,0,4,8,8,0,0,0,0,47,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,5,0,0,0,0,19,
"Not stated",0,4,0,4,0,5,0,0,4,6,0,3,0,4,6,0,0,0,3,0,0,0,5,4,0,50,
"Not applicable",8,42,27,47,53,218,133,181,185,208,210,202,193,342,202,228,180,107,260,232,234,136,158,48,600,4420,
"Total",13,79,40,87,124,313,254,251,302,363,347,321,310,555,295,305,234,132,313,261,259,140,220,74,601,6198,


" Nailsworth - Broadview"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"$75-$99",0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"$100-$124",0,0,0,0,11,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
"$125-$149",0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
"$150-$174",0,0,0,0,0,0,4,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
"$175-$199",0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,
"$200-$224",0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,
"$225-$249",0,0,0,0,0,0,4,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,
"$250-$274",0,0,3,0,4,5,13,0,13,9,9,8,9,6,3,3,0,0,3,0,0,0,5,0,0,87,
"$275-$299",0,0,0,0,0,9,8,7,6,7,8,8,11,18,4,3,0,6,0,0,0,0,6,0,0,106,
"$300-$324",0,3,0,7,0,3,9,10,11,12,11,10,8,27,3,8,0,0,0,0,0,0,3,0,0,120,
"$325-$349",0,0,0,0,3,0,0,4,8,10,14,4,7,10,7,0,4,0,0,0,0,0,3,0,0,95,
"$350-$374",0,0,0,0,0,0,0,0,3,10,9,14,4,12,10,9,0,0,0,0,0,0,7,4,0,86,
"$375-$399",0,0,0,0,0,0,5,0,0,0,0,7,3,13,0,0,0,0,3,0,0,0,3,0,0,44,
"$400-$424",0,5,0,0,0,4,0,0,0,7,3,0,4,4,4,0,0,0,0,0,0,0,4,0,0,43,
"$425-$449",0,0,0,0,0,0,3,0,0,0,0,3,4,5,0,8,0,0,0,0,0,0,0,0,0,33,
"$450-$474",0,0,0,0,0,0,0,4,0,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,24,
"$475-$499",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,8,0,0,19,
"$500-$524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,32,
"$525-$549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,
"$550-$649",0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,4,0,7,0,0,4,0,3,0,0,26,
"$650-$749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Not stated",0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,
"Not applicable",3,11,7,13,33,71,51,78,83,106,80,74,83,183,123,160,111,68,107,79,68,13,71,18,233,1926,
"Total",5,27,13,25,61,117,110,126,145,186,157,135,144,313,180,203,131,85,124,86,73,13,116,24,233,2841,


" Prospect"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
"$75-$99",0,5,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
"$100-$124",0,4,0,3,14,37,13,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,94,
"$125-$149",0,0,0,0,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,
"$150-$174",0,0,0,0,0,4,10,4,0,0,3,3,0,3,0,3,0,0,0,0,0,0,4,0,0,41,
"$175-$199",0,0,0,0,8,8,11,6,0,4,5,0,0,0,5,0,0,0,0,0,0,0,3,5,0,62,
"$200-$224",0,0,0,0,0,5,4,6,12,6,4,8,0,10,0,0,0,0,0,0,0,0,0,0,0,60,
"$225-$249",0,0,0,0,5,4,0,4,8,13,12,4,3,7,9,0,0,0,0,0,0,0,0,0,0,69,
"$250-$274",0,0,0,0,5,6,5,8,15,18,16,16,6,16,6,6,0,0,0,0,0,0,4,4,0,143,
"$275-$299",0,5,0,4,0,3,7,13,25,20,23,13,12,16,6,6,0,0,0,0,0,0,9,0,0,163,
"$300-$324",0,3,0,4,3,3,4,4,10,31,33,14,12,19,9,3,0,0,4,0,0,0,9,3,0,170,
"$325-$349",0,0,0,0,4,4,8,9,11,22,17,11,15,19,5,3,0,3,0,0,0,0,6,0,0,144,
"$350-$374",0,0,0,0,4,3,0,3,9,28,30,26,14,34,10,4,6,0,4,0,3,0,8,4,0,197,
"$375-$399",0,0,0,5,0,0,0,0,5,13,13,17,19,25,21,9,4,5,0,0,0,0,4,0,0,140,
"$400-$424",0,0,5,0,0,0,4,7,5,12,13,11,14,30,25,15,6,3,4,0,0,0,19,0,0,177,
"$425-$449",0,0,0,0,0,3,3,0,3,5,11,4,3,18,9,9,3,9,3,3,0,0,5,0,0,99,
"$450-$474",0,0,0,0,0,0,5,0,3,3,11,11,5,18,20,8,4,8,9,4,0,0,23,0,0,130,
"$475-$499",0,3,0,0,0,0,0,3,3,7,0,5,4,17,8,9,6,4,0,0,0,0,3,0,0,65,
"$500-$524",0,0,0,0,0,0,0,0,0,3,3,6,10,8,9,6,0,0,0,0,4,0,4,0,0,59,
"$525-$549",0,0,0,0,0,0,0,0,0,0,4,0,4,9,6,3,3,0,3,0,0,0,3,0,0,32,
"$550-$649",0,0,0,0,0,0,0,0,0,6,6,5,4,12,3,12,9,4,4,5,4,0,4,0,0,68,
"$650-$749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,3,3,0,4,0,0,24,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,
"Not stated",6,0,0,0,0,3,0,0,6,3,0,0,5,3,5,0,0,5,3,0,0,0,3,3,0,52,
"Not applicable",22,36,25,46,51,179,131,146,150,217,234,175,212,449,298,313,235,150,277,228,166,66,144,43,555,4555,
"Total",23,61,36,83,124,269,232,225,286,402,433,325,347,713,471,404,296,190,309,255,177,70,257,67,555,6630,


" Walkerville"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$75-$99",0,0,3,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,
"$100-$124",0,0,0,0,11,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,
"$125-$149",0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
"$150-$174",0,0,0,3,4,4,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,
"$175-$199",0,0,0,0,7,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,
"$200-$224",0,0,0,0,4,0,0,3,3,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,30,
"$225-$249",0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$250-$274",0,0,0,0,0,3,4,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,3,0,0,24,
"$275-$299",0,0,0,0,0,0,0,0,0,8,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,29,
"$300-$324",0,0,0,0,0,3,9,0,4,0,4,8,0,3,0,4,0,0,0,0,0,0,0,0,0,44,
"$325-$349",0,0,0,0,3,0,0,0,0,3,5,7,0,3,3,0,0,0,0,0,0,0,4,0,0,38,
"$350-$374",0,0,0,0,0,0,6,3,0,5,5,12,7,14,3,5,0,0,5,0,0,0,3,0,0,76,
"$375-$399",0,0,0,0,0,5,6,4,4,9,3,0,3,9,5,5,4,0,6,0,4,0,0,0,0,55,
"$400-$424",0,0,0,0,0,0,0,4,7,11,8,6,5,16,3,9,5,0,3,0,0,0,7,0,0,92,
"$425-$449",0,0,0,0,0,3,0,5,3,4,3,4,0,12,0,6,0,0,3,0,0,0,4,0,0,52,
"$450-$474",0,0,0,0,0,5,0,0,0,5,7,4,11,9,0,3,3,0,4,0,5,0,5,0,0,59,
"$475-$499",0,3,0,0,0,0,0,0,0,0,6,0,0,4,3,7,0,0,3,0,0,0,0,0,0,26,
"$500-$524",0,0,0,0,0,0,0,0,0,0,4,3,4,3,3,6,0,0,4,0,0,0,0,0,0,30,
"$525-$549",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,10,
"$550-$649",0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,3,0,3,0,0,0,0,0,0,39,
"$650-$749",0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,4,0,3,3,0,0,0,0,0,32,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,4,0,0,25,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,14,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,16,
"Not stated",0,0,3,0,0,7,0,0,0,3,3,5,0,3,0,0,0,0,0,0,0,0,0,7,0,37,
"Not applicable",10,20,18,18,32,92,79,92,97,151,159,102,106,203,124,136,108,59,193,129,174,111,94,29,432,2771,
"Total",14,36,24,45,75,160,127,128,143,207,214,169,162,309,165,192,132,71,239,144,187,117,139,40,435,3663,


" Goodwood - Millswood"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"$75-$99",0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"$100-$124",0,0,0,9,20,24,7,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,88,
"$125-$149",0,0,0,3,3,10,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,
"$150-$174",0,0,0,0,3,11,6,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,44,
"$175-$199",0,5,0,5,4,6,19,10,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,50,
"$200-$224",0,0,4,3,5,5,7,12,5,8,3,6,4,0,0,6,0,0,0,0,0,0,0,0,0,65,
"$225-$249",0,0,0,0,0,5,16,7,7,14,3,4,4,8,5,0,0,0,0,0,0,0,0,0,0,89,
"$250-$274",0,0,0,3,5,10,17,14,21,31,15,3,13,13,5,9,5,0,4,0,0,0,7,0,0,180,
"$275-$299",3,0,4,0,6,3,5,11,25,28,18,10,19,19,12,5,0,5,0,0,0,0,3,0,0,186,
"$300-$324",0,0,0,0,4,6,14,12,21,33,36,38,23,44,12,5,8,0,6,0,0,0,4,0,0,268,
"$325-$349",0,4,0,0,6,0,6,14,11,19,15,18,14,22,16,0,3,0,0,0,0,0,7,0,0,154,
"$350-$374",0,0,3,0,3,0,12,13,14,23,18,20,25,37,12,16,4,0,8,0,0,0,10,0,0,218,
"$375-$399",0,0,0,0,4,0,9,6,0,15,13,13,8,27,8,7,0,0,3,0,0,0,7,0,0,128,
"$400-$424",0,0,0,0,0,4,3,5,5,10,9,16,14,33,10,16,11,4,6,0,0,0,10,0,0,150,
"$425-$449",0,0,0,0,0,0,4,0,0,5,8,5,4,12,10,4,3,0,0,0,0,0,0,0,0,51,
"$450-$474",0,3,0,0,0,3,3,0,0,3,10,9,7,21,10,11,4,7,4,6,0,0,16,0,0,109,
"$475-$499",0,0,0,0,0,0,0,3,4,0,8,4,0,8,3,4,4,0,3,0,0,0,3,0,0,59,
"$500-$524",0,0,0,0,0,0,0,0,5,5,3,5,6,14,13,6,3,0,5,0,0,0,0,0,0,69,
"$525-$549",0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,0,3,0,0,3,0,0,0,0,0,31,
"$550-$649",0,0,0,0,0,5,0,0,3,4,4,11,3,16,13,8,12,5,9,4,9,0,12,0,0,112,
"$650-$749",0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,13,10,0,4,10,6,0,3,0,0,57,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,4,0,0,3,0,0,35,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,15,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,
"Not stated",0,0,0,3,7,6,0,3,4,0,4,0,5,0,0,0,0,0,0,4,0,0,5,8,0,57,
"Not applicable",12,57,30,33,71,242,153,204,241,270,285,209,232,470,307,320,260,144,374,282,328,148,207,63,802,5769,
"Total",15,74,39,70,150,333,308,336,387,478,458,389,389,768,457,437,333,166,428,322,357,156,320,87,799,8057,


" Unley - Parkside"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
"$75-$99",0,0,0,11,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,
"$100-$124",0,0,0,6,28,51,8,7,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,124,
"$125-$149",0,0,0,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,
"$150-$174",0,0,0,0,0,4,9,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,44,
"$175-$199",0,0,0,5,9,14,28,5,3,10,0,11,0,3,0,0,0,0,3,0,0,0,0,0,0,91,
"$200-$224",0,3,0,3,0,6,3,9,3,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,61,
"$225-$249",0,0,0,0,4,3,10,3,11,3,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,57,
"$250-$274",0,5,0,3,7,6,8,11,21,18,13,7,11,11,11,0,0,0,3,0,0,0,0,0,0,128,
"$275-$299",0,6,0,0,4,3,5,6,17,26,15,7,7,20,0,3,0,0,3,0,0,0,0,0,0,129,
"$300-$324",0,3,3,8,0,5,15,10,17,36,17,16,21,30,19,4,3,3,0,0,0,0,9,0,0,209,
"$325-$349",0,4,0,0,3,6,7,11,9,19,18,7,7,25,12,7,3,0,0,0,0,0,5,0,0,141,
"$350-$374",5,3,0,4,0,4,19,9,18,18,23,25,15,27,13,10,0,0,0,0,0,0,3,0,0,194,
"$375-$399",0,0,3,0,3,0,10,6,8,16,15,12,10,22,9,6,4,0,7,0,0,0,4,0,0,137,
"$400-$424",0,0,0,0,4,0,4,14,4,18,14,12,14,23,16,13,4,0,3,0,0,0,18,0,0,163,
"$425-$449",0,0,0,0,0,0,0,0,4,9,7,8,7,14,10,3,4,0,10,0,3,0,3,0,0,92,
"$450-$474",0,0,0,0,0,0,0,3,10,6,10,14,9,39,8,14,8,4,15,0,3,0,10,0,0,151,
"$475-$499",0,0,0,0,0,0,0,4,6,6,7,0,5,12,12,11,9,0,4,0,0,0,5,0,0,92,
"$500-$524",0,0,0,0,0,0,0,3,3,4,5,8,7,16,8,8,9,3,11,6,0,0,11,0,0,105,
"$525-$549",0,0,0,0,0,0,0,3,0,7,0,5,4,8,9,11,7,0,3,4,4,0,4,0,0,59,
"$550-$649",0,0,0,0,3,0,0,9,5,7,9,3,11,22,23,24,16,5,18,15,14,0,13,0,0,204,
"$650-$749",0,4,0,0,0,0,0,0,0,9,3,5,0,14,5,17,5,7,10,6,14,0,4,0,0,108,
"$750-$849",0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,5,3,0,9,9,12,4,7,0,0,62,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,16,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,6,0,0,3,0,0,0,33,
"Not stated",3,3,0,0,0,5,3,0,0,0,3,5,4,0,4,4,0,0,0,0,0,0,6,8,0,61,
"Not applicable",12,66,36,69,75,304,233,281,293,364,347,245,254,540,336,335,259,153,431,358,398,173,236,63,897,6773,
"Total",18,115,49,113,155,437,378,394,434,585,517,394,409,848,513,479,351,188,550,407,455,183,341,91,897,9293,


" Gawler - North"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$75-$99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$100-$124",4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,
"$125-$149",0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,
"$150-$174",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
"$175-$199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
