RNTRD Rent (weekly) Ranges,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total,Suburb
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$300-$324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$325-$349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$350-$374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$375-$399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$400-$424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$425-$449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$450-$474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$475-$499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$500-$524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
Not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Walyunga National Park
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Aveley
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aveley
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Aveley
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aveley
$150-$174,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Aveley
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Aveley
$200-$224,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Aveley
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Aveley
$250-$274,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,21, Aveley
$275-$299,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23, Aveley
$300-$324,0,0,0,0,6,4,6,6,6,12,9,10,4,13,7,3,0,0,0,0,0,0,6,0,0,100, Aveley
$325-$349,0,0,0,0,0,0,4,10,4,11,3,0,8,9,9,0,4,0,0,0,0,0,6,0,0,69, Aveley
$350-$374,0,0,0,0,6,4,7,12,16,19,14,9,17,20,9,7,6,0,4,0,0,0,14,0,0,170, Aveley
$375-$399,0,0,0,0,0,7,8,13,9,14,11,20,8,17,12,8,3,0,0,3,0,0,10,0,0,130, Aveley
$400-$424,0,0,0,0,0,0,3,5,10,14,13,14,17,29,10,8,15,0,3,0,0,0,17,3,0,168, Aveley
$425-$449,0,0,0,0,0,0,0,4,3,5,4,3,5,11,0,6,3,0,4,0,0,0,0,0,0,48, Aveley
$450-$474,0,0,0,0,0,0,0,3,3,0,3,7,3,13,12,9,9,5,4,0,0,0,10,0,0,90, Aveley
$475-$499,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,6,6,4,0,3,0,0,10,0,0,47, Aveley
$500-$524,0,0,0,0,0,0,0,0,0,0,4,0,3,9,4,8,4,3,0,6,4,0,8,0,0,50, Aveley
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Aveley
$550-$649,0,0,0,0,0,0,0,0,0,5,0,3,3,7,5,5,0,0,4,4,0,0,0,0,0,31, Aveley
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Aveley
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aveley
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aveley
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Aveley
Not stated,0,0,0,0,0,0,0,0,5,5,5,3,0,0,0,0,0,0,0,0,0,0,6,6,0,38, Aveley
Not applicable,7,37,12,16,30,91,57,118,122,240,294,276,277,692,485,368,218,114,142,120,51,10,414,45,366,4610, Aveley
Total,8,44,16,20,42,110,100,189,188,330,379,354,352,828,554,443,254,137,157,131,58,10,504,58,377,5648, Aveley
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Brabham - Henley Brook
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Brabham - Henley Brook
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Brabham - Henley Brook
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Brabham - Henley Brook
$150-$174,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10, Brabham - Henley Brook
$175-$199,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Brabham - Henley Brook
$200-$224,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Brabham - Henley Brook
$225-$249,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Brabham - Henley Brook
$250-$274,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22, Brabham - Henley Brook
$275-$299,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8, Brabham - Henley Brook
$300-$324,0,0,0,0,0,0,0,4,4,6,4,0,0,6,0,0,0,0,3,0,0,0,0,0,0,40, Brabham - Henley Brook
$325-$349,0,0,0,0,0,0,3,0,0,3,0,4,5,3,10,0,0,0,0,0,0,0,0,0,0,33, Brabham - Henley Brook
$350-$374,0,0,0,0,0,0,3,5,9,3,11,6,5,8,7,0,0,0,0,0,0,0,12,0,0,82, Brabham - Henley Brook
$375-$399,0,0,0,0,0,0,0,0,3,3,3,4,5,7,6,6,0,0,0,0,0,0,3,0,0,46, Brabham - Henley Brook
$400-$424,0,0,0,0,0,0,4,0,6,6,9,0,4,11,4,4,6,0,0,0,0,0,6,0,0,60, Brabham - Henley Brook
$425-$449,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,21, Brabham - Henley Brook
$450-$474,0,0,0,0,0,0,0,0,0,3,3,4,4,3,3,8,0,0,0,0,0,0,0,0,0,33, Brabham - Henley Brook
$475-$499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Brabham - Henley Brook
$500-$524,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,4,3,0,0,0,0,0,0,21, Brabham - Henley Brook
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Brabham - Henley Brook
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Brabham - Henley Brook
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Brabham - Henley Brook
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Brabham - Henley Brook
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Brabham - Henley Brook
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Brabham - Henley Brook
Not stated,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Brabham - Henley Brook
Not applicable,5,15,9,9,18,41,51,71,97,188,242,229,227,542,402,261,157,78,82,74,31,10,310,32,237,3429, Brabham - Henley Brook
Total,5,21,11,13,22,55,70,92,122,223,287,261,264,603,448,281,166,87,94,85,36,10,348,34,237,3880, Brabham - Henley Brook
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6, Ellenbrook
$75-$99,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Ellenbrook
$100-$124,0,0,0,3,6,18,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34, Ellenbrook
$125-$149,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, Ellenbrook
$150-$174,0,0,0,7,4,6,5,6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,38, Ellenbrook
$175-$199,0,0,0,0,5,10,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33, Ellenbrook
$200-$224,0,3,0,0,3,3,12,5,10,3,5,0,0,0,3,0,0,0,0,0,0,0,6,0,0,59, Ellenbrook
$225-$249,0,0,0,0,0,10,4,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,23, Ellenbrook
$250-$274,0,0,0,3,9,4,8,0,12,10,10,10,4,7,0,0,0,0,0,0,0,0,0,0,0,69, Ellenbrook
$275-$299,0,0,0,0,0,0,3,6,7,4,3,10,3,5,3,0,0,0,0,0,0,0,0,0,0,56, Ellenbrook
$300-$324,0,0,0,0,0,5,15,25,16,36,26,8,13,34,5,8,3,0,3,0,0,0,12,0,0,219, Ellenbrook
$325-$349,0,0,0,0,0,0,10,8,10,10,7,11,7,16,4,0,0,0,3,0,0,0,11,0,0,119, Ellenbrook
$350-$374,0,4,0,3,3,4,11,13,16,30,26,21,17,37,14,15,4,0,0,0,0,0,26,0,0,249, Ellenbrook
$375-$399,0,0,0,0,0,3,8,11,11,21,13,15,9,11,11,6,0,0,0,0,0,0,16,0,0,155, Ellenbrook
$400-$424,0,0,0,0,5,0,9,14,12,17,16,14,14,33,11,5,0,0,4,0,0,0,27,0,0,180, Ellenbrook
$425-$449,0,0,0,0,0,0,0,0,0,0,3,4,6,15,0,4,3,0,0,0,0,0,4,0,0,51, Ellenbrook
$450-$474,0,0,0,0,0,3,9,3,4,4,0,7,7,10,11,10,0,7,0,0,0,0,17,0,0,82, Ellenbrook
$475-$499,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,0,0,0,0,5,0,0,34, Ellenbrook
$500-$524,0,0,0,0,0,0,0,0,3,0,0,0,0,8,8,3,0,0,0,0,0,0,6,0,0,32, Ellenbrook
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9, Ellenbrook
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,19, Ellenbrook
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Ellenbrook
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ellenbrook
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ellenbrook
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Ellenbrook
Not stated,0,5,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,13,0,43, Ellenbrook
Not applicable,9,32,23,28,66,175,121,239,216,286,300,266,316,638,443,387,224,102,153,105,50,10,433,70,631,5328, Ellenbrook
Total,17,42,33,62,108,254,213,340,327,431,427,368,412,821,541,439,242,115,171,119,53,9,583,93,635,6867, Ellenbrook
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Craigie - Beldon
$75-$99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Craigie - Beldon
$100-$124,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18, Craigie - Beldon
$125-$149,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Craigie - Beldon
$150-$174,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Craigie - Beldon
$175-$199,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Craigie - Beldon
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Craigie - Beldon
$225-$249,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Craigie - Beldon
$250-$274,0,0,0,0,0,5,7,4,6,8,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,37, Craigie - Beldon
$275-$299,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Craigie - Beldon
$300-$324,0,0,0,5,3,3,17,5,4,8,15,6,3,10,3,4,0,3,5,0,0,0,7,0,0,103, Craigie - Beldon
$325-$349,0,0,0,0,0,3,4,6,9,6,9,3,3,7,6,4,0,0,0,0,0,0,3,0,0,67, Craigie - Beldon
$350-$374,0,0,0,0,5,3,6,11,10,24,16,19,9,27,5,4,3,0,0,0,0,0,17,0,0,169, Craigie - Beldon
$375-$399,0,0,0,0,0,4,0,0,13,12,13,8,3,21,9,0,0,0,0,4,0,0,8,0,0,105, Craigie - Beldon
$400-$424,0,0,0,3,0,5,6,6,14,13,8,4,10,28,16,5,3,0,6,0,4,0,19,0,0,143, Craigie - Beldon
$425-$449,0,0,0,0,0,0,3,4,3,7,6,0,4,7,5,5,0,0,0,0,0,0,10,0,0,56, Craigie - Beldon
$450-$474,0,0,0,0,0,0,0,0,0,10,3,9,9,4,10,5,0,0,0,6,0,0,5,4,0,70, Craigie - Beldon
$475-$499,0,0,0,0,0,0,0,0,3,0,4,0,4,7,5,0,0,0,0,4,0,0,3,0,0,24, Craigie - Beldon
$500-$524,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,7,0,0,17, Craigie - Beldon
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Craigie - Beldon
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0,6,0,0,19, Craigie - Beldon
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Craigie - Beldon
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Craigie - Beldon
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Craigie - Beldon
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Craigie - Beldon
Not stated,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26, Craigie - Beldon
Not applicable,12,36,21,34,63,166,94,170,158,167,202,199,220,433,311,268,156,71,91,57,23,7,248,48,316,3563, Craigie - Beldon
Total,10,42,20,44,93,204,146,220,225,262,293,261,271,566,389,308,174,83,102,71,26,8,339,57,317,4511, Craigie - Beldon
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Currambine - Kinross
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Currambine - Kinross
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18, Currambine - Kinross
$125-$149,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Currambine - Kinross
$150-$174,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Currambine - Kinross
$175-$199,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Currambine - Kinross
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Currambine - Kinross
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9, Currambine - Kinross
$250-$274,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13, Currambine - Kinross
$275-$299,0,0,0,0,0,0,4,0,3,4,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,18, Currambine - Kinross
$300-$324,0,0,0,0,0,6,9,3,3,8,6,3,7,10,0,0,0,0,3,0,0,0,5,0,0,58, Currambine - Kinross
$325-$349,0,0,0,0,0,0,0,4,3,0,0,4,3,6,5,0,4,0,0,0,0,0,0,0,0,36, Currambine - Kinross
$350-$374,0,3,0,0,0,0,10,10,11,12,3,11,9,21,4,3,0,0,0,0,0,0,5,0,0,113, Currambine - Kinross
$375-$399,0,0,0,0,4,0,0,5,4,8,12,10,3,14,9,9,0,0,0,0,0,0,7,0,0,90, Currambine - Kinross
$400-$424,0,5,0,5,0,0,5,11,10,12,16,7,12,24,13,7,4,0,4,0,0,0,20,0,0,149, Currambine - Kinross
$425-$449,0,0,0,0,0,0,0,0,4,8,7,3,0,8,3,4,0,0,0,0,0,0,6,0,0,58, Currambine - Kinross
$450-$474,0,0,0,0,0,0,5,7,3,6,8,7,9,13,15,8,5,0,7,0,0,0,0,0,0,103, Currambine - Kinross
$475-$499,0,0,0,0,0,0,0,4,0,3,0,7,3,10,7,6,0,0,0,0,0,0,7,0,0,43, Currambine - Kinross
$500-$524,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,5,6,0,5,0,0,0,6,0,0,42, Currambine - Kinross
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,5,0,0,20, Currambine - Kinross
$550-$649,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,16,9,3,8,4,0,0,9,0,0,61, Currambine - Kinross
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16, Currambine - Kinross
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Currambine - Kinross
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Currambine - Kinross
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Currambine - Kinross
Not stated,0,3,5,0,0,3,0,0,0,4,3,6,0,0,0,5,0,0,0,0,0,0,3,4,0,31, Currambine - Kinross
Not applicable,9,34,17,31,51,105,99,168,147,171,196,215,169,454,371,359,232,155,204,186,80,11,368,44,298,4176, Currambine - Kinross
Total,11,47,22,32,61,130,138,221,203,246,270,279,224,578,428,421,265,166,236,200,92,13,444,55,303,5094, Currambine - Kinross
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Duncraig
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Duncraig
$100-$124,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Duncraig
$125-$149,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Duncraig
$150-$174,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Duncraig
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Duncraig
$200-$224,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7, Duncraig
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Duncraig
$250-$274,0,0,0,0,0,0,0,0,3,0,4,7,0,3,0,0,0,0,0,0,0,0,0,0,0,11, Duncraig
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Duncraig
$300-$324,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,28, Duncraig
$325-$349,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16, Duncraig
$350-$374,0,0,0,0,0,0,4,0,5,9,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,42, Duncraig
$375-$399,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,27, Duncraig
$400-$424,0,0,0,0,5,4,5,0,0,5,6,3,5,18,0,4,0,0,0,0,0,0,0,0,0,62, Duncraig
$425-$449,0,0,0,0,0,0,3,0,4,0,7,0,4,4,7,9,0,0,0,0,0,0,3,0,0,35, Duncraig
$450-$474,0,0,0,0,0,0,0,0,0,10,4,10,0,9,11,5,8,0,0,3,0,0,4,3,0,68, Duncraig
$475-$499,0,0,0,0,0,0,0,0,0,5,0,0,9,8,3,0,0,0,0,0,0,0,4,0,0,29, Duncraig
$500-$524,0,0,0,0,0,0,4,0,0,3,3,0,0,13,6,6,6,5,0,0,0,0,11,0,0,64, Duncraig
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,19, Duncraig
$550-$649,0,0,0,0,0,0,0,0,0,6,0,3,7,21,11,17,7,3,14,0,7,0,11,0,0,108, Duncraig
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,3,0,3,0,4,0,0,29, Duncraig
$750-$849,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,4,6,0,6,0,0,20, Duncraig
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8, Duncraig
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Duncraig
Not stated,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,20, Duncraig
Not applicable,24,45,39,41,51,204,136,206,213,255,255,212,184,422,345,455,287,172,405,294,199,48,348,63,338,5245, Duncraig
Total,24,48,41,48,69,224,164,224,242,290,293,250,219,513,403,509,315,193,430,305,222,55,405,73,339,5908, Duncraig
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Greenwood - Warwick
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Greenwood - Warwick
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, Greenwood - Warwick
$125-$149,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Greenwood - Warwick
$150-$174,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14, Greenwood - Warwick
$175-$199,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Greenwood - Warwick
$200-$224,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,18, Greenwood - Warwick
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14, Greenwood - Warwick
$250-$274,0,0,0,0,3,0,6,0,4,0,0,0,0,5,0,4,0,0,0,0,0,0,7,0,0,27, Greenwood - Warwick
$275-$299,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Greenwood - Warwick
$300-$324,0,0,0,0,3,0,9,6,4,9,8,6,5,3,0,3,0,0,5,0,0,0,0,0,0,59, Greenwood - Warwick
$325-$349,0,0,0,0,0,0,0,0,0,0,7,5,4,6,4,0,0,0,0,0,0,0,3,0,0,36, Greenwood - Warwick
$350-$374,0,0,0,3,8,0,6,4,13,7,14,3,7,15,7,0,0,0,0,3,0,0,8,0,0,103, Greenwood - Warwick
$375-$399,0,0,0,0,0,0,3,0,8,5,5,9,11,10,6,3,0,0,4,0,0,0,5,0,0,68, Greenwood - Warwick
$400-$424,0,0,0,0,5,0,0,5,0,12,5,6,12,17,12,9,0,0,0,0,0,0,7,0,0,103, Greenwood - Warwick
$425-$449,0,0,0,0,4,0,0,0,0,0,6,0,7,4,3,7,0,0,0,0,0,0,7,0,0,45, Greenwood - Warwick
